customer_id,recency,frequency,monetary,avg_order_value,tenure_days,R_score,F_score,M_score,RFM_score,RFM_sum,RFM_segment
12389,38,3,1433.33,29.251632653061225,253,3,3,4,334,10,Loyal Customers
12391,100,5,2285.18,13.133218390804595,198,2,4,5,245,11,Loyal Customers
12392,227,1,234.75000000000003,33.53571428571429,1,1,1,1,111,3,Lost Customers
12393,18,2,816.85,18.996511627906976,46,4,2,3,423,9,New Customers
12395,7,4,2048.64,20.90448979591837,231,5,4,4,544,13,Champions
12396,310,1,931.43,14.329692307692309,1,1,1,3,113,5,Lost Customers
12399,21,3,853.65,16.738235294117647,259,4,3,3,433,10,Loyal Customers
12400,50,1,205.25,18.65909090909091,1,3,1,1,311,5,Lost Customers
12402,28,5,1031.3,17.47966101694915,277,4,4,4,444,12,Loyal Customers
12403,157,1,591.6600000000001,147.91500000000002,1,2,1,3,213,6,Lost Customers
12404,318,1,63.24,63.24,1,1,1,1,111,3,Lost Customers
12406,35,3,2975.06,48.771475409836064,297,4,3,5,435,12,Loyal Customers
12408,21,3,1452.22,26.892962962962965,112,4,3,4,434,11,Loyal Customers
12409,56,4,12346.62,79.65561290322582,144,3,4,5,345,12,Loyal Customers
12410,138,1,320.38,22.884285714285717,1,2,1,2,212,5,Lost Customers
12411,45,1,346.9,15.768181818181818,1,3,1,2,312,6,Lost Customers
12412,38,3,1370.05,20.758333333333333,137,3,3,4,334,10,Loyal Customers
12413,38,1,241.35,18.565384615384616,1,3,1,1,311,5,Lost Customers
12414,99,3,390.0,39.0,1,2,3,2,232,7,Potential Loyalists
12415,11,7,19543.84,92.18792452830188,152,5,5,5,555,15,Champions
12416,292,1,202.56,18.41454545454545,1,1,1,1,111,3,Lost Customers
12417,46,11,3148.31,17.787062146892655,323,3,5,5,355,13,Champions
12418,49,3,1352.62,19.891470588235293,216,3,3,4,334,10,Loyal Customers
12419,21,2,503.01,20.1204,27,4,2,3,423,9,New Customers
12421,51,2,291.56,14.578,90,3,2,2,322,7,Potential Loyalists
12422,30,14,4428.24,33.29503759398496,327,4,5,5,455,14,Champions
12423,23,2,763.08,19.077,78,4,2,3,423,9,New Customers
12424,58,2,1579.07,25.468870967741932,125,3,2,4,324,9,Potential Loyalists
12425,84,1,964.21,17.53109090909091,1,2,1,3,213,6,Lost Customers
12426,298,1,762.48,16.222978723404257,1,1,1,3,113,5,Lost Customers
12427,7,1,303.5,30.35,1,5,1,2,512,8,New Customers
12429,1,5,3735.51,49.15144736842105,180,5,4,5,545,14,Champions
12431,9,13,4370.52,25.708941176470592,320,5,5,5,555,15,Champions
12433,2,5,7205.39,25.19367132867133,110,5,4,5,545,14,Champions
12434,17,1,297.29,14.8645,1,4,1,2,412,7,New Customers
12435,32,4,6096.04,80.21105263157895,340,4,4,5,445,13,Champions
12437,31,21,7731.99,21.24173076923077,341,4,5,5,455,14,Champions
12439,318,2,1142.88,16.096901408450705,43,1,2,4,124,7,Potential Loyalists
12440,98,2,859.2,26.85,255,2,2,3,223,7,Potential Loyalists
12441,2,1,173.55,15.77727272727273,1,5,1,1,511,7,New Customers
12443,368,1,485.31,23.11,1,1,1,2,112,4,Lost Customers
12445,56,1,301.58000000000004,15.079000000000002,1,3,1,2,312,6,Lost Customers
12449,46,2,768.6,76.86,28,3,2,3,323,8,Potential Loyalists
12450,35,3,490.32,16.90758620689655,75,4,3,2,432,9,Potential Loyalists
12451,99,3,3634.36,23.1487898089172,66,2,3,5,235,10,Loyal Customers
12454,31,4,13151.44,526.0576,25,4,4,5,445,13,Champions
12455,81,4,3413.09,24.913065693430656,276,2,4,5,245,11,Loyal Customers
12457,71,1,632.6800000000001,28.75818181818182,1,3,1,3,313,7,Potential Loyalists
12458,63,2,830.09,18.045434782608694,60,3,2,3,323,8,Potential Loyalists
12459,241,1,454.36,19.754782608695653,1,1,1,2,112,4,Lost Customers
12460,92,1,326.65,18.147222222222226,1,2,1,2,212,5,Lost Customers
12466,318,1,56.73,56.73,1,1,1,1,111,3,Lost Customers
12467,59,1,132.8,14.755555555555556,1,3,1,1,311,5,Lost Customers
12468,162,3,2941.2,26.260714285714283,156,2,3,5,235,10,Loyal Customers
12469,158,2,3070.54,40.40184210526316,14,2,2,5,225,9,Potential Loyalists
12470,325,1,211.95,9.215217391304348,1,1,1,1,111,3,Lost Customers
12471,10,49,20129.54,29.77742603550296,358,5,5,5,555,15,Champions
12472,5,13,11308.48,19.77006993006993,356,5,5,5,555,15,Champions
12474,14,13,5048.66,17.652657342657342,288,5,5,5,555,15,Champions
12475,45,1,426.26,17.0504,1,3,1,2,312,6,Lost Customers
12476,32,12,7267.49,25.8629537366548,105,4,5,5,455,14,Champions
12477,35,3,7056.63,26.72965909090909,223,4,3,5,435,12,Loyal Customers
12480,35,3,2183.2200000000003,24.809318181818185,108,4,3,5,435,12,Loyal Customers
12481,1,6,6765.07,38.87971264367816,241,5,4,5,545,14,Champions
12482,212,29,23691.4,116.1343137254902,77,1,5,5,155,11,Loyal Customers
12483,14,11,2612.2000000000003,41.46349206349207,298,5,5,5,555,15,Champions
12484,119,6,1826.78,14.27171875,197,2,4,4,244,10,Loyal Customers
12485,165,1,708.1,20.826470588235296,1,2,1,3,213,6,Lost Customers
12486,67,1,1037.28,21.16897959183673,1,3,1,4,314,8,Potential Loyalists
12487,366,1,285.3,142.65,1,1,1,2,112,4,Lost Customers
12490,14,11,4405.71,20.302811059907835,360,5,5,5,555,15,Champions
12492,39,1,452.0,20.545454545454547,1,3,1,2,312,6,Lost Customers
12494,1,3,626.77,18.43441176470588,210,5,3,3,533,11,Loyal Customers
12495,276,1,357.4,21.023529411764702,1,1,1,2,112,4,Lost Customers
12496,256,2,45.34,4.534000000000001,1,1,2,1,121,4,Lost Customers
12497,36,2,5205.400000000001,121.05581395348838,244,4,2,5,425,11,Loyal Customers
12499,196,1,393.72,14.582222222222224,1,1,1,2,112,4,Lost Customers
12500,71,8,1697.39,19.96929411764706,238,3,5,4,354,12,Loyal Customers
12503,220,1,1126.0,563.0,1,1,1,4,114,6,Lost Customers
12504,53,2,297.0,27.0,179,3,2,2,322,7,Potential Loyalists
12505,44,1,955.2,22.742857142857144,1,3,1,3,313,7,Potential Loyalists
12507,220,1,539.25,19.258928571428573,1,1,1,3,113,5,Lost Customers
12510,95,7,4195.45,37.459375,276,2,5,5,255,12,Loyal Customers
12511,64,1,3084.02,16.231684210526314,1,3,1,5,315,9,Potential Loyalists
12514,277,1,580.08,17.578181818181818,1,1,1,3,113,5,Lost Customers
12516,66,2,1336.56,27.845,168,3,2,4,324,9,Potential Loyalists
12519,112,1,385.7000000000001,17.531818181818185,1,2,1,2,212,5,Lost Customers
12523,10,12,2562.58,17.92013986013986,357,5,5,5,555,15,Champions
12524,24,9,6640.39,69.17072916666667,280,4,5,5,455,14,Champions
12525,134,3,973.73,16.228833333333334,149,2,3,3,233,8,Potential Loyalists
12527,130,2,386.8,27.62857142857143,34,2,2,2,222,6,Lost Customers
12529,164,1,316.48,15.07047619047619,1,2,1,2,212,5,Lost Customers
12530,51,5,2096.98,22.793260869565216,227,3,4,4,344,11,Loyal Customers
12531,322,1,1807.98,16.43618181818182,1,1,1,4,114,6,Lost Customers
12533,263,2,1367.89,18.998472222222222,110,1,2,4,124,7,Potential Loyalists
12537,44,1,732.94,17.04511627906977,1,3,1,3,313,7,Potential Loyalists
12538,14,1,276.5,21.26923076923077,1,5,1,2,512,8,New Customers
12539,86,3,5646.400000000001,24.443290043290045,265,2,3,5,235,10,Loyal Customers
12540,14,16,8854.25,30.21928327645051,353,5,5,5,555,15,Champions
12542,120,2,481.88,12.355897435897436,156,2,2,2,222,6,Lost Customers
12543,84,1,980.25,22.796511627906977,1,2,1,3,213,6,Lost Customers
12547,136,1,175.78,13.521538461538462,1,2,1,1,211,4,Lost Customers
12549,211,6,1575.68,32.15673469387755,121,1,4,4,144,9,At Risk
12553,21,2,916.47,19.49936170212766,37,4,2,3,423,9,New Customers
12554,84,1,468.5,18.01923076923077,1,2,1,2,212,5,Lost Customers
12555,318,1,129.23,129.23,1,1,1,1,111,3,Lost Customers
12557,7,4,6725.18,269.0072,351,5,4,5,545,14,Champions
12562,21,2,1185.18,30.38923076923077,49,4,2,4,424,10,Loyal Customers
12563,44,1,249.24,19.17230769230769,1,3,1,1,311,5,Lost Customers
12567,3,7,4308.58,22.32424870466321,299,5,5,5,555,15,Champions
12568,280,1,70.0,14.0,1,1,1,1,111,3,Lost Customers
12570,318,1,77.52,77.52,1,1,1,1,111,3,Lost Customers
12573,17,4,556.87,6.11945054945055,83,4,4,3,443,11,Loyal Customers
12575,93,2,622.82,16.39,69,2,2,3,223,7,Potential Loyalists
12576,28,3,826.89,15.312777777777775,133,4,3,3,433,10,Loyal Customers
12577,17,5,990.5,6.516447368421052,354,4,4,4,444,12,Loyal Customers
12578,21,2,1847.94,31.861034482758622,58,4,2,4,424,10,Loyal Customers
12580,212,1,637.2,18.74117647058824,1,1,1,3,113,5,Lost Customers
12582,58,2,1469.04,18.136296296296297,155,3,2,4,324,9,Potential Loyalists
12583,9,13,7166.06,32.72173515981736,359,5,5,5,555,15,Champions
12586,10,3,1865.73,22.47867469879518,348,5,3,4,534,12,Loyal Customers
12588,35,3,743.88,20.66333333333333,198,4,3,3,433,10,Loyal Customers
12589,57,6,4048.98,27.924,267,3,4,5,345,12,Loyal Customers
12591,26,2,886.1,21.097619047619048,18,4,2,3,423,9,New Customers
12592,155,3,2145.06,34.04857142857143,1,2,3,5,235,10,Loyal Customers
12594,14,5,1751.89,21.628271604938277,267,5,4,4,544,13,Champions
12595,140,1,299.02,15.737894736842104,1,2,1,2,212,5,Lost Customers
12598,99,3,1511.01,20.41905405405405,185,2,3,4,234,9,Potential Loyalists
12599,17,6,1264.14,17.804788732394368,196,4,4,4,444,12,Loyal Customers
12600,7,12,2444.88,35.95411764705882,360,5,5,5,555,15,Champions
12601,40,1,104.2,17.366666666666667,1,3,1,1,311,5,Lost Customers
12605,12,4,1232.95,16.223026315789475,81,5,4,4,544,13,Champions
12606,318,1,21.0,21.0,1,1,1,1,111,3,Lost Customers
12608,40,1,415.79,25.986875,1,3,1,2,312,6,Lost Customers
12609,10,6,2309.01,20.07834782608696,345,5,4,5,545,14,Champions
12613,24,5,3472.99,20.075086705202317,337,4,4,5,445,13,Champions
12615,49,4,3449.79,20.907818181818183,217,3,4,5,345,12,Loyal Customers
12616,24,1,417.8,18.99090909090909,1,4,1,2,412,7,New Customers
12619,196,1,140.14,14.014,1,1,1,1,111,3,Lost Customers
12621,1,16,11086.14,36.5879207920792,302,5,5,5,555,15,Champions
12623,52,6,3442.74,22.211225806451612,279,3,4,5,345,12,Loyal Customers
12625,145,2,2481.06,25.57793814432989,87,2,2,5,225,9,Potential Loyalists
12629,21,2,1558.22,34.62711111111111,37,4,2,4,424,10,Loyal Customers
12631,92,5,2841.07,18.69125,237,2,4,5,245,11,Loyal Customers
12632,156,2,804.88,22.99657142857143,44,2,2,3,223,7,Potential Loyalists
12633,18,3,3514.18,17.142341463414635,143,4,3,5,435,12,Loyal Customers
12634,171,2,490.0,24.5,12,2,2,2,222,6,Lost Customers
12635,28,2,1241.23,15.913205128205128,64,4,2,4,424,10,Loyal Customers
12636,374,1,141.0,141.0,1,1,1,1,111,3,Lost Customers
12637,14,4,2280.91,9.831508620689654,165,5,4,5,545,14,Champions
12638,275,1,249.8,27.75555555555556,1,1,1,1,111,3,Lost Customers
12639,70,2,826.27,19.67309523809524,193,3,2,3,323,8,Potential Loyalists
12643,21,6,4960.18,183.7103703703704,225,4,4,5,445,13,Champions
12644,66,3,1440.58,18.00725,263,3,3,4,334,10,Loyal Customers
12645,45,4,1764.12,20.277241379310343,259,3,4,4,344,11,Loyal Customers
12647,3,27,14201.53,33.10379953379954,327,5,5,5,555,15,Champions
12648,73,3,793.95,18.044318181818184,263,2,3,3,233,8,Potential Loyalists
12649,18,5,1671.14,19.20850574712644,313,4,4,4,444,12,Loyal Customers
12651,14,3,263.75,12.55952380952381,86,5,3,2,532,10,Loyal Customers
12652,70,1,97.05,32.35,1,3,1,1,311,5,Lost Customers
12653,162,1,1950.98,45.37162790697675,1,2,1,4,214,7,Potential Loyalists
12655,59,1,261.35,16.334375,1,3,1,2,312,6,Lost Customers
12656,61,3,2356.66,19.476528925619835,137,3,3,5,335,11,Loyal Customers
12661,72,1,162.0,14.727272727272728,1,2,1,1,211,4,Lost Customers
12662,9,10,3138.24,17.830909090909092,244,5,5,5,555,15,Champions
12663,260,2,239.4,23.94,43,1,2,1,121,4,Lost Customers
12664,150,2,1188.16,148.52,212,2,2,4,224,8,Potential Loyalists
12665,53,2,250.6,17.9,251,3,2,1,321,6,Lost Customers
12666,30,1,1248.42,40.27161290322581,1,4,1,4,414,9,New Customers
12668,14,6,7575.88,20.202346666666667,298,5,4,5,545,14,Champions
12670,21,2,764.24,33.22782608695652,280,4,2,3,423,9,New Customers
12671,242,1,2622.481,58.27735555555556,1,1,1,5,115,7,Potential Loyalists
12672,231,1,211.15,17.595833333333335,1,1,1,1,111,3,Lost Customers
12673,37,1,619.5,19.359375,1,3,1,3,313,7,Potential Loyalists
12675,189,2,957.25,8.546875,24,1,2,3,123,6,Lost Customers
12676,44,5,1511.7,24.38225806451613,74,3,4,4,344,11,Loyal Customers
12677,191,2,395.1,18.81428571428572,111,1,2,2,122,5,Lost Customers
12678,11,9,16652.72,78.92284360189574,325,5,5,5,555,15,Champions
12681,3,24,17080.74,20.65385731559855,358,5,5,5,555,15,Champions
12682,1,23,11745.69,22.851536964980543,373,5,5,5,555,15,Champions
12683,1,8,4220.21,21.42238578680203,360,5,5,5,555,15,Champions
12686,7,1,89.14,12.734285714285717,1,5,1,1,511,7,New Customers
12687,116,2,2138.91,16.97547619047619,1,2,2,4,224,8,Potential Loyalists
12691,56,1,134.6,19.228571428571428,1,3,1,1,311,5,Lost Customers
12692,273,1,110.95,8.534615384615385,1,1,1,1,111,3,Lost Customers
12693,32,3,847.11,21.17775,126,4,3,3,433,10,Loyal Customers
12694,57,1,973.68,21.16695652173913,1,3,1,3,313,7,Potential Loyalists
12695,164,3,825.02,25.781875,137,2,3,3,233,8,Potential Loyalists
12696,70,2,851.91,17.38591836734694,74,3,2,3,323,8,Potential Loyalists
12698,226,1,339.75,21.234375,1,1,1,2,112,4,Lost Customers
12699,53,1,638.11,15.563658536585368,1,3,1,3,313,7,Potential Loyalists
12701,165,4,1648.7,17.53936170212766,104,2,4,4,244,10,Loyal Customers
12703,269,3,722.98,13.6411320754717,51,1,3,3,133,7,Potential Loyalists
12705,19,5,4893.81,18.467207547169814,150,4,4,5,445,13,Champions
12708,4,9,2601.19,17.00124183006536,353,5,5,5,555,15,Champions
12709,2,20,21107.94,72.786,363,5,5,5,555,15,Champions
12711,247,2,1339.05,22.3175,65,1,2,4,124,7,Potential Loyalists
12712,1,10,2797.53,19.56314685314685,365,5,5,5,555,15,Champions
12714,24,7,9384.85,21.47562929061785,347,4,5,5,455,14,Champions
12717,226,1,277.93,17.370625,1,1,1,2,112,4,Lost Customers
12720,5,6,2478.94,15.99316129032258,137,5,4,5,545,14,Champions
12721,21,2,1356.95,17.39679487179487,86,4,2,4,424,10,Loyal Customers
12724,19,3,1286.11,16.9225,151,4,3,4,434,11,Loyal Customers
12725,7,4,2266.76,21.3845283018868,213,5,4,5,545,14,Champions
12726,23,4,1405.5,25.55454545454545,237,4,4,4,444,12,Loyal Customers
12727,78,3,1698.8300000000002,26.54421875,212,2,3,4,234,9,Potential Loyalists
12728,19,1,233.84,15.589333333333334,1,4,1,1,411,6,New Customers
12730,157,1,829.25,17.643617021276597,1,2,1,3,213,6,Lost Customers
12731,78,5,6879.8,57.81344537815127,205,2,4,5,245,11,Loyal Customers
12733,25,3,2040.92,15.117925925925926,300,4,3,4,434,11,Loyal Customers
12734,10,2,529.25,35.28333333333333,17,5,2,3,523,10,Loyal Customers
12737,134,2,3710.5,1855.25,1,2,2,5,225,9,Potential Loyalists
12738,8,1,155.35,14.122727272727271,1,5,1,1,511,7,New Customers
12739,21,2,1713.69,33.60176470588235,8,4,2,4,424,10,Loyal Customers
12741,165,2,406.07,25.379375,3,2,2,2,222,6,Lost Customers
12742,261,1,1201.52,17.933134328358207,1,1,1,4,114,6,Lost Customers
12744,95,4,4037.77,34.5108547008547,131,2,4,5,245,11,Loyal Customers
12745,122,3,925.41,40.235217391304346,195,2,3,3,233,8,Potential Loyalists
12746,176,1,254.55,14.973529411764709,1,2,1,2,212,5,Lost Customers
12747,5,16,5061.03,33.07862745098039,363,5,5,5,555,15,Champions
12748,1,144,22457.9,8.873133148952984,369,5,5,5,555,15,Champions
12749,35,4,2806.48,20.1905035971223,121,4,4,5,445,13,Champions
12751,80,1,268.27,4.326935483870967,1,2,1,2,212,5,Lost Customers
12755,1,10,5218.71,86.9785,327,5,5,5,555,15,Champions
12758,95,5,7111.650000000001,32.92430555555556,278,2,4,5,245,11,Loyal Customers
12759,22,5,3489.3,16.856521739130436,349,4,4,5,445,13,Champions
12760,91,1,347.8,16.561904761904763,1,2,1,2,212,5,Lost Customers
12761,93,2,782.95,28.99814814814815,7,2,2,3,223,7,Potential Loyalists
12763,5,1,320.08,20.005,1,5,1,2,512,8,New Customers
12765,108,6,1404.58,20.65558823529412,169,2,4,4,244,10,Loyal Customers
12766,2,3,3078.65,21.232068965517243,41,5,3,5,535,13,Champions
12767,11,1,949.82,22.088837209302326,1,5,1,3,513,9,New Customers
12768,86,1,168.69,16.869,1,2,1,1,211,4,Lost Customers
12770,92,1,1895.0,118.4375,1,2,1,4,214,7,Potential Loyalists
12771,121,1,282.3,18.82,1,2,1,2,212,5,Lost Customers
12773,200,1,124.25,20.70833333333333,1,1,1,1,111,3,Lost Customers
12774,171,1,98.7,16.45,1,2,1,1,211,4,Lost Customers
12775,24,2,300.08000000000004,20.005333333333336,21,4,2,2,422,8,New Customers
12776,303,1,55.5,13.875,1,1,1,1,111,3,Lost Customers
12777,93,1,519.45,19.97884615384616,1,2,1,3,213,6,Lost Customers
12778,32,3,953.45,14.89765625,206,4,3,3,433,10,Loyal Customers
12779,7,7,2740.91,21.413359375,365,5,5,5,555,15,Champions
12780,234,1,337.4,16.869999999999997,1,1,1,2,112,4,Lost Customers
12782,10,6,2287.32,18.446129032258067,144,5,4,5,545,14,Champions
12784,165,1,1230.33,17.087916666666665,1,2,1,4,214,7,Potential Loyalists
12785,171,2,788.45,18.77261904761905,195,2,2,3,223,7,Potential Loyalists
12786,245,1,728.5000000000001,40.47222222222223,1,1,1,3,113,5,Lost Customers
12787,49,1,398.52,16.605,1,3,1,2,312,6,Lost Customers
12788,99,4,444.9,17.111538461538462,65,2,4,2,242,8,At Risk
12789,148,2,181.5,45.375,181,2,2,1,221,5,Lost Customers
12790,46,1,266.93,16.683125,1,3,1,2,312,6,Lost Customers
12791,9,6,863.51,30.839642857142856,250,5,4,3,543,12,Loyal Customers
12792,170,1,426.47,19.385,1,2,1,2,212,5,Lost Customers
12793,7,2,471.85,17.475925925925928,30,5,2,2,522,9,New Customers
12796,264,1,381.0,54.42857142857143,1,1,1,2,112,4,Lost Customers
12797,1,2,552.08,18.40266666666667,58,5,2,3,523,10,Loyal Customers
12798,57,1,1533.89,61.3556,1,3,1,4,314,8,Potential Loyalists
12799,165,1,219.35,14.623333333333331,1,2,1,1,211,4,Lost Customers
12800,106,3,584.25,17.183823529411764,206,2,3,3,233,8,Potential Loyalists
12801,136,1,1071.82,21.4364,1,2,1,4,214,7,Potential Loyalists
12802,78,6,1988.84,17.600353982300884,121,2,4,4,244,10,Loyal Customers
12803,29,1,1092.81,19.86927272727273,1,4,1,4,414,9,New Customers
12804,101,2,325.37,4.929848484848485,34,2,2,2,222,6,Lost Customers
12805,17,4,1434.95,24.74051724137931,293,4,4,4,444,12,Loyal Customers
12806,71,4,2878.96,42.96955223880597,153,3,4,5,345,12,Loyal Customers
12807,19,1,330.35,20.646875,1,4,1,2,412,7,New Customers
12808,4,3,422.45,16.248076923076923,94,5,3,2,532,10,Loyal Customers
12809,201,2,1266.63,22.618392857142855,81,1,2,4,124,7,Potential Loyalists
12810,170,2,534.99,16.7184375,142,2,2,3,223,7,Potential Loyalists
12811,14,2,519.0500000000001,20.762000000000004,48,5,2,3,523,10,Loyal Customers
12813,137,3,1687.8,37.50666666666667,191,2,3,4,234,9,Potential Loyalists
12817,35,2,524.94,24.997142857142855,34,4,2,3,423,9,New Customers
12819,94,1,540.52,28.448421052631577,1,2,1,3,213,6,Lost Customers
12820,33,7,1747.18,17.4718,337,4,5,4,454,13,Champions
12821,247,1,128.08,18.29714285714286,1,1,1,1,111,3,Lost Customers
12823,30,13,4742.0,364.7692307692308,284,4,5,5,455,14,Champions
12825,157,2,518.63,21.609583333333333,120,2,2,3,223,7,Potential Loyalists
12826,1,6,1481.03,19.747066666666665,356,5,4,4,544,13,Champions
12829,186,1,92.3,11.5375,1,1,1,1,111,3,Lost Customers
12831,99,2,236.06,18.158461538461538,1,2,2,1,221,5,Lost Customers
12835,63,41,5996.83,9.750943089430894,308,3,5,5,355,13,Champions
12836,25,11,3949.37,16.664008438818566,349,4,5,5,455,14,Champions
12837,205,1,528.5600000000001,6.954736842105264,1,1,1,3,113,5,Lost Customers
12838,9,9,2694.75,9.134745762711864,219,5,5,5,555,15,Champions
12839,3,13,4480.31,17.100419847328247,365,5,5,5,555,15,Champions
12840,73,3,1315.2,20.87619047619048,237,2,3,4,234,9,Potential Loyalists
12841,5,17,3472.61,12.53649819494585,149,5,5,5,555,15,Champions
12842,40,2,799.0,57.07142857142857,333,3,2,3,323,8,Potential Loyalists
12843,18,22,4881.1,42.07844827586207,344,4,5,5,455,14,Champions
12844,78,2,322.64,6.3262745098039215,151,2,2,2,222,6,Lost Customers
12846,318,1,15.58,15.58,1,1,1,1,111,3,Lost Customers
12847,23,1,765.36,21.86742857142857,1,4,1,3,413,8,New Customers
12848,311,1,208.0,13.0,1,1,1,1,111,3,Lost Customers
12849,17,4,2032.18,21.168541666666663,209,4,4,4,444,12,Loyal Customers
12850,81,1,330.0,165.0,1,2,1,2,212,5,Lost Customers
12851,113,1,148.95,4.965,1,2,1,1,211,4,Lost Customers
12853,63,5,1950.4,27.862857142857145,245,3,4,4,344,11,Loyal Customers
12854,197,4,1654.72,10.886315789473684,167,1,4,4,144,9,At Risk
12855,8,4,612.84,9.146865671641793,29,5,4,3,543,12,Loyal Customers
12857,72,4,2581.6,34.42133333333333,247,2,4,5,245,11,Loyal Customers
12858,19,1,147.27,3.980270270270271,1,4,1,1,411,6,New Customers
12859,94,1,575.1,27.38571428571429,1,2,1,3,213,6,Lost Customers
12860,329,1,54.22,3.38875,1,1,1,1,111,3,Lost Customers
12861,255,1,68.25,17.0625,1,1,1,1,111,3,Lost Customers
12862,61,2,984.62,7.51618320610687,69,3,2,3,323,8,Potential Loyalists
12863,15,5,2271.35,52.82209302325581,210,5,4,5,545,14,Champions
12864,144,1,152.45,38.1125,1,2,1,1,211,4,Lost Customers
12865,14,2,1755.24,17.5524,98,5,2,4,524,11,Loyal Customers
12866,110,2,668.23,18.06027027027027,28,2,2,3,223,7,Potential Loyalists
12867,33,6,3819.92,7.402945736434108,325,4,4,5,445,13,Champions
12868,9,3,640.0,16.41025641025641,19,5,3,3,533,11,Loyal Customers
12869,317,1,337.67,9.126216216216216,1,1,1,2,112,4,Lost Customers
12870,11,3,1676.95,18.031720430107526,248,5,3,4,534,12,Loyal Customers
12871,75,1,363.38,51.91142857142857,1,2,1,2,212,5,Lost Customers
12872,1,11,3062.52,8.367540983606558,370,5,5,5,555,15,Champions
12873,33,2,1653.3,53.332258064516125,284,4,2,4,424,10,Loyal Customers
12874,21,2,948.42,19.75875,169,4,2,3,423,9,New Customers
12875,107,3,1013.76,168.96,226,2,3,4,234,9,Potential Loyalists
12876,30,2,1863.77,21.92670588235294,195,4,2,4,424,10,Loyal Customers
12877,37,8,1406.37,11.71975,289,3,5,4,354,12,Loyal Customers
12880,17,2,640.13,17.781388888888888,192,4,2,3,423,9,New Customers
12887,19,1,222.4,17.107692307692307,1,4,1,1,411,6,New Customers
12889,17,4,385.46,15.418400000000002,121,4,4,2,442,10,Loyal Customers
12890,23,1,329.3,5.880357142857143,1,4,1,2,412,7,New Customers
12891,94,8,509.5,63.6875,201,2,5,3,253,10,Loyal Customers
12892,32,1,263.38,14.632222222222222,1,4,1,2,412,7,New Customers
12894,211,1,157.35,7.492857142857143,1,1,1,1,111,3,Lost Customers
12897,17,2,297.75,29.775,162,4,2,2,422,8,New Customers
12898,99,2,296.21,10.97074074074074,195,2,2,2,222,6,Lost Customers
12899,49,1,366.4,21.552941176470583,1,3,1,2,312,6,Lost Customers
12900,58,1,340.33000000000004,26.179230769230774,1,3,1,2,312,6,Lost Customers
12903,64,1,833.5300000000001,20.33,1,3,1,3,313,7,Potential Loyalists
12905,212,2,1018.42,18.85962962962963,105,1,2,4,124,7,Potential Loyalists
12907,31,2,508.91,20.3564,98,4,2,3,423,9,New Customers
12908,16,3,1026.0,342.0,249,4,3,4,434,11,Loyal Customers
12909,60,3,924.52,13.798805970149251,228,3,3,3,333,9,Potential Loyalists
12910,15,5,2721.48,43.89483870967742,241,5,4,5,545,14,Champions
